original_name,new_location,document_date,how_date_was_determined,date_confidence,note
26.03.04.Benzidine.CN.addlAMR.Trace.pdf,06 - Lab Results & Sampling (general)/03-13-2026 - 26.03.04.Benzidine.CN.addlAMR.Trace.pdf,03-13-2026,letterhead-date,high,
26.03.05.AMR.Trace.pdf,06 - Lab Results & Sampling (general)/03-23-2026 - 26.03.05.AMR.Trace.pdf,03-23-2026,letterhead-date,high,
26.04.08.BM.CN.Trace.pdf,06 - Lab Results & Sampling (general)/04-24-2026 - 26.04.08.BM.CN.Trace.pdf,04-24-2026,letterhead-date,high,
26.04.30.CN.Trace.pdf,06 - Lab Results & Sampling (general)/05-01-2026 - 26.04.30.CN.Trace.pdf,05-01-2026,letterhead-date,high,
26.05.04.CNtotal.Pace.pdf,06 - Lab Results & Sampling (general)/05-13-2026 - 26.05.04.CNtotal.Pace.pdf,05-13-2026,letterhead-date,high,
26.06.03.Benzidine.CN.Trace.pdf,06 - Lab Results & Sampling (general)/06-19-2026 - 26.06.03.Benzidine.CN.Trace.pdf,06-19-2026,letterhead-date,high,
26.06.10.multipleCN.Trace.pdf,06 - Lab Results & Sampling (general)/06-12-2026 - 26.06.10.multipleCN.Trace.pdf,06-12-2026,letterhead-date,high,
26.06.15.CN.Trace.pdf,06 - Lab Results & Sampling (general)/06-23-2026 - 26.06.15.CN.Trace.pdf,06-23-2026,letterhead-date,high,
26.06.18.CN.Trace.pdf,06 - Lab Results & Sampling (general)/06-23-2026 - 26.06.18.CN.Trace.pdf,06-23-2026,letterhead-date,high,
26.06.23.CN.Trace.pdf,06 - Lab Results & Sampling (general)/06-25-2026 - 26.06.23.CN.Trace.pdf,06-25-2026,letterhead-date,high,
26.06.30.CCI.CN.Trace.pdf,06 - Lab Results & Sampling (general)/07-02-2026 - 26.06.30.CCI.CN.Trace.pdf,07-02-2026,letterhead-date,high,
26.06.IPP.AddlPermitParameters.Pace.pdf,06 - Lab Results & Sampling (general)/06-24-2026 - 26.06.IPP.AddlPermitParameters.Pace.pdf,06-24-2026,letterhead-date,high,
26.07.08.Benzidine.CN.Trace (1).pdf,06 - Lab Results & Sampling (general)/07-16-2026 - 26.07.08.Benzidine.CN.Trace.pdf,07-16-2026,letterhead-date,high,
26.07.08.Benzidine.CN.Trace.pdf,06 - Lab Results & Sampling (general)/07-16-2026 - 26.07.08.Benzidine.CN.Trace (copy 2).pdf,07-16-2026,letterhead-date,high,"duplicate copy - kept both, suffixed"
2675a3c4-1fee-4dc9-8547-f35827bc307e.jpg,"14 - Maps, Photos & Imagery/2675a3c4-1fee-4dc9-8547-f35827bc307e.jpg",,none,none,
2A6-E7TC-JQKM1.pdf,11 - Form Submissions (online portal)/10-30-2015 - 2A6-E7TC-JQKM1.pdf,10-30-2015,issue-label:Date Submitted,high,
2D2-X9KF-HB6N V2.pdf,11 - Form Submissions (online portal)/02-04-2016 - 2D2-X9KF-HB6N V2.pdf,02-04-2016,issue-label:Date Submitted,high,
2KJ-C2SF-H1BF V1.pdf,11 - Form Submissions (online portal)/10-25-2016 - 2KJ-C2SF-H1BF V1.pdf,10-25-2016,first-date-on-page1,medium,
3-19 Sludge Data.pdf,05 - Biosolids & Land Application/03-01-2019 - 3-19 Sludge Data.pdf,03-01-2019,filename-M-YY,low,
4-19 Sludge Data.pdf,05 - Biosolids & Land Application/04-01-2019 - 4-19 Sludge Data.pdf,04-01-2019,filename-M-YY,low,
421579.pdf,12 - Wexford Landfill & Leachate/06-20-2006 - 421579.pdf,06-20-2006,transmittal-letter-date,medium,
43a6131a-b891-4af5-a780-aff550ddbb60.jpg,"14 - Maps, Photos & Imagery/43a6131a-b891-4af5-a780-aff550ddbb60.jpg",,none,none,
44483c69-8ff4-4e22-9c92-a86966c173e8.jpg,"14 - Maps, Photos & Imagery/44483c69-8ff4-4e22-9c92-a86966c173e8.jpg",,none,none,
50374521_frc.pdf,04 - PFAS Monitoring/06-27-2024 - frc.pdf,06-27-2024,letterhead-date,high,
50381719_frc.pdf,04 - PFAS Monitoring/09-30-2024 - frc.pdf,09-30-2024,letterhead-date,high,
56545 Analytical Methodology.pdf,07 - Inspections & Evaluations/56545 Analytical Methodology.pdf,,none,none,
56545 Facility Site Review.pdf,07 - Inspections & Evaluations/56545 Facility Site Review.pdf,,none,none,
56545 Pre-Inspection Report.pdf,07 - Inspections & Evaluations/09-30-2013 - 56545 Pre-Inspection Report.pdf,09-30-2013,transmittal-letter-date,medium,
56545 Sampling Procedures.pdf,07 - Inspections & Evaluations/56545 Sampling Procedures.pdf,,none,none,
56545 Self Monitoring Records.pdf,07 - Inspections & Evaluations/56545 Self Monitoring Records.pdf,,none,none,
58587c2f-4543-49a0-b40d-05a974269d96.jpg,"14 - Maps, Photos & Imagery/58587c2f-4543-49a0-b40d-05a974269d96.jpg",,none,none,
5b043a70-5b82-4dca-9946-29cc758f27f2.jpg,"14 - Maps, Photos & Imagery/5b043a70-5b82-4dca-9946-29cc758f27f2.jpg",,none,none,
5c17e09a-2627-44ea-b1de-7e3c7fd29ef8.jpg,"14 - Maps, Photos & Imagery/5c17e09a-2627-44ea-b1de-7e3c7fd29ef8.jpg",,none,none,
649de7fd-722f-43e5-a0d2-57461bf2c2f3.jpg,"14 - Maps, Photos & Imagery/649de7fd-722f-43e5-a0d2-57461bf2c2f3.jpg",,none,none,
69027f14-b768-4f7e-b32a-3a5904a4e0cb.jpg,"14 - Maps, Photos & Imagery/69027f14-b768-4f7e-b32a-3a5904a4e0cb.jpg",,none,none,
78e0992f-a961-4cbc-a911-6721ab5d549e (1).jpg,"14 - Maps, Photos & Imagery/78e0992f-a961-4cbc-a911-6721ab5d549e.jpg",,none,none,
78e0992f-a961-4cbc-a911-6721ab5d549e.jpg,"14 - Maps, Photos & Imagery/78e0992f-a961-4cbc-a911-6721ab5d549e (copy 2).jpg",,none,none,"duplicate copy - kept both, suffixed"
868ad094-f5e5-4c6b-b972-477290f929d7.jpg,"14 - Maps, Photos & Imagery/868ad094-f5e5-4c6b-b972-477290f929d7.jpg",,none,none,
89853015-b250-4751-92dc-f8afce7c7878.jpg,"14 - Maps, Photos & Imagery/89853015-b250-4751-92dc-f8afce7c7878.jpg",,none,none,
8b811440-4295-4db5-a695-0f0f2c246478.jpg,"14 - Maps, Photos & Imagery/8b811440-4295-4db5-a695-0f0f2c246478.jpg",,none,none,
9470d5b6-5a99-4b4e-8ec9-6945aa8ba4bc.jpg,"14 - Maps, Photos & Imagery/9470d5b6-5a99-4b4e-8ec9-6945aa8ba4bc.jpg",,none,none,
AREA-OVER-VIEW.png,"14 - Maps, Photos & Imagery/AREA-OVER-VIEW.png",,none,none,
Aff of Pub.pdf,03 - IPP (Industrial Pretreatment)/03-15-2022 - Aff of Pub.pdf,03-15-2022,letterhead-date,high,
Affidavit of Publication.pdf,03 - IPP (Industrial Pretreatment)/03-17-2021 - Affidavit of Publication.pdf,03-17-2021,letterhead-date,high,
American Waste PFAS Survey.pdf,04 - PFAS Monitoring/05-21-2018 - American Waste PFAS Survey.pdf,05-21-2018,letterhead-date,high,
Antibiotics_in_WWTP_discharge_into_the_Chaobai_Riv.pdf,19 - Research & Technical Literature/10-29-2016 - Antibiotics_in_WWTP_discharge_into_the_Chaobai_Riv.pdf,10-29-2016,most-frequent-in-doc,low,
Application_2Q7-HQ21-P66B V1 - names 1140 Plett RD.pdf,11 - Form Submissions (online portal)/04-03-2017 - Application_2Q7-HQ21-P66B V1 - names 1140 Plett RD.pdf,04-03-2017,issue-label:Date Submitted,high,
Application_2Q7-HQ21-P66B V1.pdf,11 - Form Submissions (online portal)/04-03-2017 - Application_2Q7-HQ21-P66B V1.pdf,04-03-2017,issue-label:Date Submitted,high,
Application_HPG-1ZSF-KC99G V2.pdf,11 - Form Submissions (online portal)/09-21-2022 - Application_HPG-1ZSF-KC99G V2.pdf,09-21-2022,portal-signature-date,high,
April 2026 DMR (1).pdf,01 - DMRs (Discharge Monitoring Reports)/04-30-2026 - April 2026 DMR.pdf,04-30-2026,DMR period end date,medium,
April 2026 DMR.pdf,01 - DMRs (Discharge Monitoring Reports)/04-30-2026 - April 2026 DMR (copy 2).pdf,04-30-2026,DMR period end date,medium,"duplicate copy - kept both, suffixed"
Attachment 1 - Cadillac WWTP Violations.pdf,08 - Compliance & Enforcement/03-01-2023 - Attachment 1 - Cadillac WWTP Violations.pdf,03-01-2023,first-date-on-page1,medium,
Basis for Decision Memo-DRAFT_Cadillac WWTP.pdf,09 - Correspondence & Letters/08-02-2018 - Basis for Decision Memo-DRAFT_Cadillac WWTP.pdf,08-02-2018,letterhead-date,high,
Biosoilids Lab&Hauling Data Fall 22.pdf,05 - Biosolids & Land Application/10-01-2022 - Biosoilids Lab&Hauling Data Fall 22.pdf,10-01-2022,filename-season (OCR unreliable),medium,
Biosoilids Lab&Hauling Sheet Spring 2024.pdf,05 - Biosolids & Land Application/04-01-2024 - Biosoilids Lab&Hauling Sheet Spring 2024.pdf,04-01-2024,filename-season (OCR unreliable),medium,
Bright Dental Health.pdf,03 - IPP (Industrial Pretreatment)/07-14-2017 - Bright Dental Health.pdf,07-14-2017,letterhead-date,high,
Brilliant Smiles Family Dentistry.pdf,03 - IPP (Industrial Pretreatment)/07-14-2017 - Brilliant Smiles Family Dentistry.pdf,07-14-2017,letterhead-date,high,
CADILLAC-SPILL-1.docx,12 - Wexford Landfill & Leachate/08-06-2026 - CADILLAC-SPILL-1.docx,08-06-2026,issue-label:Report date,high,
CBOD5 Results.pdf,06 - Lab Results & Sampling (general)/10-28-2014 - CBOD5 Results.pdf,10-28-2014,letterhead-date,high,
CCI NOV  June 2026.pdf,08 - Compliance & Enforcement/06-10-2026 - CCI NOV June 2026.pdf,06-10-2026,first-date-on-page1,medium,
Cadillac 2021 Land Ap Certification.pdf,05 - Biosolids & Land Application/10-01-2020 - Cadillac 2021 Land Ap Certification.pdf,10-01-2020,letterhead-date,high,
Cadillac 2022 Land Ap Certification.pdf,05 - Biosolids & Land Application/10-01-2021 - Cadillac 2022 Land Ap Certification.pdf,10-01-2021,letterhead-date,high,
Cadillac 2023 Certification.pdf,05 - Biosolids & Land Application/10-01-2022 - Cadillac 2023 Certification.pdf,10-01-2022,letterhead-date,high,
Cadillac Draft Permit for Issue.pdf,02 - NPDES Permits & Permit Issuance/03-22-2012 - Cadillac Draft Permit for Issue.pdf,03-22-2012,letterhead-date,high,
Cadillac Dry Tons 2021.pdf,05 - Biosolids & Land Application/05-04-2021 - Cadillac Dry Tons 2021.pdf,05-04-2021,first-date-on-page1,medium,
Cadillac Haul Summary.pdf,05 - Biosolids & Land Application/11-29-2021 - Cadillac Haul Summary.pdf,11-29-2021,first-date-on-page1,medium,
Cadillac Mod Basis for Decision Memo.pdf,09 - Correspondence & Letters/07-08-2015 - Cadillac Mod Basis for Decision Memo.pdf,07-08-2015,letterhead-date,high,
Cadillac Mod Public Notice Document.pdf,02 - NPDES Permits & Permit Issuance/10-05-2015 - Cadillac Mod Public Notice Document.pdf,10-05-2015,letterhead-date,high,
Cadillac News Affidavit of Publication 03-19-2025.pdf,03 - IPP (Industrial Pretreatment)/03-19-2025 - Cadillac News Affidavit of Publication 03-19-2025.pdf,03-19-2025,letterhead-date,high,
Cadillac WWTP 2025 Below 20 Letter Interim Strategy.pdf,05 - Biosolids & Land Application/04-30-2025 - Cadillac WWTP 2025 Below 20 Letter Interim Strategy.pdf,04-30-2025,letterhead-date,high,
Cadillac WWTP 2nd PFAS-IPP Mailing.pdf,04 - PFAS Monitoring/04-18-2018 - Cadillac WWTP 2nd PFAS-IPP Mailing.pdf,04-18-2018,letterhead-date,high,
Cadillac WWTP BOD (2).pdf,06 - Lab Results & Sampling (general)/02-03-2011 - Cadillac WWTP BOD.pdf,02-03-2011,letterhead-date,high,
Cadillac WWTP BOD.pdf,21 - Invoices & Billing/02-03-2011 - Cadillac WWTP BOD.pdf,02-03-2011,issue-label:Invoice Date,high,
Cadillac WWTP IPP - Civil and criminal penalties.pdf,03 - IPP (Industrial Pretreatment)/05-27-2026 - Cadillac WWTP IPP - Civil and criminal penalties.pdf,05-27-2026,email-sent-date (newest in chain),high,
Cadillac WWTP IPP 2011.pdf,03 - IPP (Industrial Pretreatment)/01-01-2011 - Cadillac WWTP IPP 2011.pdf,01-01-2011,issue-label:Issued Date,high,
Cadillac WWTP MAHL 2026 vers 2 comments 5-13-26_COPY.pdf,03 - IPP (Industrial Pretreatment)/05-13-2026 - Cadillac WWTP MAHL 2026 vers 2 comments 5-13-26_COPY.pdf,05-13-2026,letterhead-date,high,
Cadillac WWTP MI0020257 IPP PFAS Dec 2019 Status.pdf,04 - PFAS Monitoring/12-03-2019 - Cadillac WWTP MI0020257 IPP PFAS Dec 2019 Status.pdf,12-03-2019,letterhead-date,high,
Cadillac WWTP PFAS Interim and Summary Rpt Approval Letter.pdf,04 - PFAS Monitoring/03-04-2019 - Cadillac WWTP PFAS Interim and Summary Rpt Approval Letter.pdf,03-04-2019,letterhead-date,high,
Cadillac WWTP PFAS Letter.pdf,04 - PFAS Monitoring/03-04-2019 - Cadillac WWTP PFAS Letter.pdf,03-04-2019,letterhead-date,high,
Cadillac WWTP SIU Information.pdf,03 - IPP (Industrial Pretreatment)/Cadillac WWTP SIU Information.pdf,,none,none,
Cadillac WWTP Septage Information.pdf,05 - Biosolids & Land Application/10-28-2014 - Cadillac WWTP Septage Information.pdf,10-28-2014,transmittal-letter-date,medium,
Cadillac WWTP_PFAS Extension Approval FINAL.pdf,04 - PFAS Monitoring/05-24-2018 - Cadillac WWTP_PFAS Extension Approval FINAL.pdf,05-24-2018,letterhead-date,high,
Cadillac preops_11-21-21.pdf,05 - Biosolids & Land Application/11-24-2021 - Cadillac preops_11-21-21.pdf,11-24-2021,date-label:Date:,medium,
Cadillac_Cyanide_Reporter_One_Page_Brief.pdf,08 - Compliance & Enforcement/05-21-2026 - Cadillac_Cyanide_Reporter_One_Page_Brief.pdf,05-21-2026,issue-label:issued,high,
Cadillac_WWTP_PFAS_timeseries.csv,04 - PFAS Monitoring/10-22-2025 - Cadillac_WWTP_PFAS_timeseries.csv,10-22-2025,latest-date-in-index,medium,
Cadillac_WWTP_Septage_Information_Compatibility.pdf,05 - Biosolids & Land Application/10-28-2011 - Cadillac_WWTP_Septage_Information_Compatibility.pdf,10-28-2011,transmittal-letter-date,medium,
Cadillac_WWTP_TruthFirst_Final_Report.md,08 - Compliance & Enforcement/08-06-2026 - Cadillac_WWTP_TruthFirst_Final_Report.md,08-06-2026,issue-label:Report date,high,
Certified Operator Response Form.pdf,10 - Process & Site Documents/Certified Operator Response Form.pdf,,none,none,
City of Cadillac CEI Response.pdf,01 - DMRs (Discharge Monitoring Reports)/09-04-2025 - City of Cadillac CEI Response.pdf,09-04-2025,letterhead-date,high,
Class B Pathogen Reduction and Site Res..pdf,05 - Biosolids & Land Application/10-02-2017 - Class B Pathogen Reduction and Site Res.pdf,10-02-2017,most-frequent-in-doc,low,
Compliance Communication.pdf,01 - DMRs (Discharge Monitoring Reports)/08-19-2025 - Compliance Communication.pdf,08-19-2025,letterhead-date,high,
Compliance Communication2.pdf,01 - DMRs (Discharge Monitoring Reports)/08-19-2025 - Compliance Communication2.pdf,08-19-2025,letterhead-date,high,
Compliance_File_Pages_001-012_searchable.pdf,08 - Compliance & Enforcement/01-18-2018 - Compliance_File_Pages_001-012_searchable.pdf,01-18-2018,letterhead-date,high,
Compliance_File_Pages_025-040_searchable.pdf,08 - Compliance & Enforcement/06-26-2015 - Compliance_File_Pages_025-040_searchable.pdf,06-26-2015,letterhead-date,high,
Compliance_File_Pages_041-048_searchable.pdf,08 - Compliance & Enforcement/12-17-2014 - Compliance_File_Pages_041-048_searchable.pdf,12-17-2014,email-sent-date (newest in chain),high,
DMR Daily - GW1010342 _10_01_2016_to_10_31_2016_V1.pdf,12 - Wexford Landfill & Leachate/10-31-2016 - DMR Daily - GW1010342 _10_01_2016_to_10_31_2016_V1 (copy 2).pdf,10-31-2016,DMR period end date,medium,"duplicate copy - kept both, suffixed"
DMR Daily - GW1010342 _11_01_2016_to_11_30_2016_V1.pdf,12 - Wexford Landfill & Leachate/11-30-2016 - DMR Daily - GW1010342 _11_01_2016_to_11_30_2016_V1 (copy 2).pdf,11-30-2016,DMR period end date,medium,"duplicate copy - kept both, suffixed"
DMR Daily - GW1010342 _12_01_2016_to_12_31_2016_V1.pdf,12 - Wexford Landfill & Leachate/12-31-2016 - DMR Daily - GW1010342 _12_01_2016_to_12_31_2016_V1 (copy 2).pdf,12-31-2016,DMR period end date,medium,"duplicate copy - kept both, suffixed"
DMR Daily - MI0020257 _01_01_2016_to_01_31_2016_V1.pdf,01 - DMRs (Discharge Monitoring Reports)/01-31-2016 - DMR Daily - MI0020257 _01_01_2016_to_01_31_2016_V1.pdf,01-31-2016,DMR period end date,medium,
DMR Summary - GW1010342 _10_01_2016_to_10_31_2016_V1.pdf,12 - Wexford Landfill & Leachate/10-31-2016 - DMR Summary - GW1010342 _10_01_2016_to_10_31_2016_V1 (copy 2).pdf,10-31-2016,DMR period end date,medium,"duplicate copy - kept both, suffixed"
DMR Summary - GW1010342 _11_01_2016_to_11_30_2016_V1.pdf,12 - Wexford Landfill & Leachate/11-30-2016 - DMR Summary - GW1010342 _11_01_2016_to_11_30_2016_V1 (copy 2).pdf,11-30-2016,DMR period end date,medium,"duplicate copy - kept both, suffixed"
DMR Summary - GW1010342 _12_01_2016_to_12_31_2016_V1.pdf,12 - Wexford Landfill & Leachate/12-31-2016 - DMR Summary - GW1010342 _12_01_2016_to_12_31_2016_V1 (copy 2).pdf,12-31-2016,DMR period end date,medium,"duplicate copy - kept both, suffixed"
Degester Temps.pdf,05 - Biosolids & Land Application/Degester Temps.pdf,,none,none,
Digester Temps..pdf,05 - Biosolids & Land Application/Digester Temps.pdf,,none,none,
Digester Temps.pdf,05 - Biosolids & Land Application/01-01-2020 - Digester Temps.pdf,01-01-2020,year-label-in-doc,low,
DioxaneReport_Yr1Final-20160127.pdf,19 - Research & Technical Literature/01-27-2016 - DioxaneReport_Yr1Final-20160127.pdf,01-27-2016,filename-date,medium,
EGLE FILE Violation Notice - VN No_ VN-019184.msg,08 - Compliance & Enforcement/06-10-2026 - EGLE FILE Violation Notice - VN No_ VN-019184.msg,06-10-2026,msg-sent-date,medium,
EGLE WRD Correspondence_  SVN-01952_Cadillac WWTP_COPY.msg,08 - Compliance & Enforcement/05-22-2026 - EGLE WRD Correspondence_ SVN-01952_Cadillac WWTP_COPY.msg,05-22-2026,msg-sent-date,medium,
EGLE WRD Correspondence_  SVN-01952_Cadillac WWTP_COPY.pdf,08 - Compliance & Enforcement/05-22-2026 - EGLE WRD Correspondence_ SVN-01952_Cadillac WWTP_COPY.pdf,05-22-2026,email-sent-date (newest in chain),high,
EGLE-COMPARISON-09102025_22.9.pdf,04 - PFAS Monitoring/09-10-2025 - EGLE-COMPARISON-09102025_22.9.pdf,09-10-2025,filename+confirmed-in-doc,high,
EGLE.violation background.pdf,08 - Compliance & Enforcement/08-07-2026 - EGLE.violation background.pdf,08-07-2026,email-sent-date (newest in chain),high,
EGLE_Wexford_County_Landfill_Full_Export - Copy.xlsx,00 - Reference Data (CSV exports)/01-30-2027 - EGLE_Wexford_County_Landfill_Full_Export - Copy.xlsx,01-30-2027,latest-date-in-index,medium,
EGLE_Wexford_County_Landfill_Full_Export.xlsx,00 - Reference Data (CSV exports)/01-30-2027 - EGLE_Wexford_County_Landfill_Full_Export.xlsx,01-30-2027,latest-date-in-index,medium,
Environmental_Data_Review_1140_Plett_Rd_Master_Workbook.xlsx,"13 - Groundwater, Wells & Plett Rd/04-22-2026 - Environmental_Data_Review_1140_Plett_Rd_Master_Workbook.xlsx",04-22-2026,latest-date-in-index,medium,
Example-CPLR Site Notification Ltr - RH01.pdf,05 - Biosolids & Land Application/07-20-1993 - Example-CPLR Site Notification Ltr - RH01.pdf,07-20-1993,letterhead-date,high,
Executive-Agenda-Packet-10-13-20.pdf,18 - Meeting Minutes & Public Body Records/10-13-2020 - Executive-Agenda-Packet-10-13-20.pdf,10-13-2020,letterhead-date,high,
FW_ TestAmerica invoice and report files from 190-17646-1 City of Cadillac (1).pdf,06 - Lab Results & Sampling (general)/10-29-2018 - FW_ TestAmerica invoice and report files from 190-17646-1 City of Cadillac.pdf,10-29-2018,email-sent-date (newest in chain),high,
FW_ TestAmerica invoice and report files from 190-17646-1 City of Cadillac (2).pdf,06 - Lab Results & Sampling (general)/10-29-2018 - FW_ TestAmerica invoice and report files from 190-17646-1 City of Cadillac (2).pdf,10-29-2018,email-sent-date (newest in chain),high,"name clash - kept both, suffixed"
FW_ TestAmerica invoice and report files from 190-17646-1 City of Cadillac.pdf,06 - Lab Results & Sampling (general)/10-29-2018 - FW_ TestAmerica invoice and report files from 190-17646-1 City of Cadillac (3).pdf,10-29-2018,email-sent-date (newest in chain),high,"name clash - kept both, suffixed"
FY18 Applier Certification - Revised.pdf,05 - Biosolids & Land Application/01-01-2018 - FY18 Applier Certification - Revised.pdf,01-01-2018,filename-fiscal-year,low,
FY18 Applier Certification-Revised 2-signed.pdf,05 - Biosolids & Land Application/01-01-2018 - FY18 Applier Certification-Revised 2-signed.pdf,01-01-2018,filename-fiscal-year,low,
FY18 Pathogen Results-Spring.pdf,05 - Biosolids & Land Application/05-09-2018 - FY18 Pathogen Results-Spring.pdf,05-09-2018,letterhead-date,high,
FY19 Biosolids Lab Data sheet-Oct.pdf,05 - Biosolids & Land Application/01-01-2019 - FY19 Biosolids Lab Data sheet-Oct.pdf,01-01-2019,filename-fiscal-year (OCR unreliable),medium,
FY19 Biosolids Lab data Sheet-June.pdf,05 - Biosolids & Land Application/01-01-2019 - FY19 Biosolids Lab data Sheet-June.pdf,01-01-2019,filename-fiscal-year (OCR unreliable),medium,
FY19 Pathogen Results-Spring.pdf,05 - Biosolids & Land Application/05-13-2019 - FY19 Pathogen Results-Spring.pdf,05-13-2019,letterhead-date,high,
FY19 Pathogen results-Fall.pdf,05 - Biosolids & Land Application/10-29-2018 - FY19 Pathogen results-Fall.pdf,10-29-2018,letterhead-date,high,
FY20 Applier Certification- VAR.pdf,05 - Biosolids & Land Application/01-01-2020 - FY20 Applier Certification- VAR.pdf,01-01-2020,filename-fiscal-year,low,
FY20 Applier Certification-Class B Pathogen Reduction and Site Restrictions.pdf,05 - Biosolids & Land Application/01-01-2020 - FY20 Applier Certification-Class B Pathogen Reduction and Site Restrictions.pdf,01-01-2020,filename-fiscal-year,low,
FY20 Applier Certification-Management Practices.pdf,05 - Biosolids & Land Application/01-01-2020 - FY20 Applier Certification-Management Practices.pdf,01-01-2020,filename-fiscal-year,low,
FY20 Biosolids Lab data sheet-Nov.pdf,05 - Biosolids & Land Application/01-23-2020 - FY20 Biosolids Lab data sheet-Nov.pdf,01-23-2020,OCR month/day + filename year,low,
FY20 Digestor Sludge Temps-Fall 2019.pdf,05 - Biosolids & Land Application/10-01-2019 - FY20 Digestor Sludge Temps-Fall 2019.pdf,10-01-2019,year-label-in-doc,low,
FY20 Digestor Sludge Temps-Spring 2020.pdf,05 - Biosolids & Land Application/04-01-2020 - FY20 Digestor Sludge Temps-Spring 2020.pdf,04-01-2020,filename-season,low,
FY20 Lab Log-Solids and DTs-Fall 2019.pdf,05 - Biosolids & Land Application/10-01-2019 - FY20 Lab Log-Solids and DTs-Fall 2019.pdf,10-01-2019,filename-season (OCR unreliable),medium,
FY20 Lab Log-Solids and DTs-Spring 2020.pdf,05 - Biosolids & Land Application/04-01-2020 - FY20 Lab Log-Solids and DTs-Spring 2020.pdf,04-01-2020,filename-season (OCR unreliable),medium,
FY20 Land Appl Site Listing-Dry Tonnage Info.pdf,05 - Biosolids & Land Application/11-19-2019 - FY20 Land Appl Site Listing-Dry Tonnage Info.pdf,11-19-2019,first-date-on-page1,medium,
FY20 Land Appl Sites Listed-Info.pdf,05 - Biosolids & Land Application/01-01-2020 - FY20 Land Appl Sites Listed-Info.pdf,01-01-2020,filename-fiscal-year,low,
FY20 Metals Worksheets.pdf,05 - Biosolids & Land Application/01-01-2020 - FY20 Metals Worksheets.pdf,01-01-2020,year-label-in-doc,low,
FY20 Metals-Nutrient Results-Sept 2019.pdf,06 - Lab Results & Sampling (general)/10-09-2019 - FY20 Metals-Nutrient Results-Sept 2019.pdf,10-09-2019,letterhead-date,high,
FY20 Metals-Nutrient-VOC Results-March 2020.pdf,06 - Lab Results & Sampling (general)/04-15-2020 - FY20 Metals-Nutrient-VOC Results-March 2020.pdf,04-15-2020,letterhead-date,high,
FY20 Pathogen Results-Mar 2020.pdf,05 - Biosolids & Land Application/04-30-2020 - FY20 Pathogen Results-Mar 2020.pdf,04-30-2020,letterhead-date,high,
FY20 Pathogen Results-Sept 2019.pdf,05 - Biosolids & Land Application/11-13-2019 - FY20 Pathogen Results-Sept 2019.pdf,11-13-2019,letterhead-date,high,
FY20 Pathogen results-Fall.pdf,05 - Biosolids & Land Application/11-13-2019 - FY20 Pathogen results-Fall.pdf,11-13-2019,letterhead-date,high,
FY20 RMP Mod Approval Letter.pdf,05 - Biosolids & Land Application/04-29-2020 - FY20 RMP Mod Approval Letter.pdf,04-29-2020,letterhead-date,high,
Fact Sheet-DRAFT_Cadillac WWTP.pdf,02 - NPDES Permits & Permit Issuance/06-01-2013 - Fact Sheet-DRAFT_Cadillac WWTP.pdf,06-01-2013,month-year-in-doc,low,
Fall 20 biosolids.HML.pdf,05 - Biosolids & Land Application/10-08-2020 - Fall 20 biosolids.HML.pdf,10-08-2020,letterhead-date,high,
Fall 20biosolids.PACE.pdf,05 - Biosolids & Land Application/09-10-2020 - Fall 20biosolids.PACE.pdf,09-10-2020,letterhead-date,high,
Fall 21 Lab Data.pdf,05 - Biosolids & Land Application/10-01-2021 - Fall 21 Lab Data.pdf,10-01-2021,filename-season (OCR unreliable),medium,
Fecal Coliform Results.pdf,06 - Lab Results & Sampling (general)/10-17-2014 - Fecal Coliform Results.pdf,10-17-2014,letterhead-date,high,
Fig 1 - Site Location.pdf,12 - Wexford Landfill & Leachate/03-16-2016 - Fig 1 - Site Location (copy 2).pdf,03-16-2016,identical-copy-of: 2016-03-16__6073389934025205219__Fig 1 - Site Location.pdf,high,"duplicate copy - kept both, suffixed"
Fig 2 - Site Plan.pdf,12 - Wexford Landfill & Leachate/07-18-2012 - Fig 2 - Site Plan (copy 2).pdf,07-18-2012,letterhead-date,high,"duplicate copy - kept both, suffixed"
Fig 3 - Reg Water Well Location.pdf,12 - Wexford Landfill & Leachate/03-14-2012 - Fig 3 - Reg Water Well Location (copy 2).pdf,03-14-2012,first-date-on-page1,medium,"duplicate copy - kept both, suffixed"
Fig 4 - Wetland Location.pdf,12 - Wexford Landfill & Leachate/03-16-2016 - Fig 4 - Wetland Location (copy 2).pdf,03-16-2016,identical-copy-of: 2016-03-16__4187907776021566409__Fig 4 - Wetland Location.pd,high,"duplicate copy - kept both, suffixed"
Fig 5 - North Topo.pdf,12 - Wexford Landfill & Leachate/03-16-2016 - Fig 5 - North Topo (copy 2).pdf,03-16-2016,identical-copy-of: 2016-03-16__-2296258207315679752__Fig 5 - North Topo.pdf,high,"duplicate copy - kept both, suffixed"
Fig 6 - South Topo.pdf,12 - Wexford Landfill & Leachate/03-08-2011 - Fig 6 - South Topo (copy 2).pdf,03-08-2011,letterhead-date,high,"duplicate copy - kept both, suffixed"
Flow Rate - Days.pdf,12 - Wexford Landfill & Leachate/03-16-2016 - Flow Rate - Days (copy 2).pdf,03-16-2016,identical-copy-of: 2016-03-16__-1024976884723014956__Flow Rate - Days.pdf,high,"duplicate copy - kept both, suffixed"
