Year/Group,Category,File Name,Relative Path,Size
2018,011 Form Submissions,HNN-0QFE-AG22Q V1.pdf,2018/011 Form Submissions/HNN-0QFE-AG22Q V1.pdf,251 KB
2018,011 Form Submissions,WQBELBiologistFactSheet_MI0020257_1-30-2018.pdf,2018/011 Form Submissions/WQBELBiologistFactSheet_MI0020257_1-30-2018.pdf,275 KB
2019,01-DMRS,DMR Daily - MI0020257 _01_01_2019_to_01_31_2019_V1.pdf,2019/01-DMRS/DMR Daily - MI0020257 _01_01_2019_to_01_31_2019_V1.pdf,122 KB
2019,01-DMRS,DMR Daily - MI0020257 _02_01_2019_to_02_28_2019_V1.pdf,2019/01-DMRS/DMR Daily - MI0020257 _02_01_2019_to_02_28_2019_V1.pdf,117 KB
2019,01-DMRS,DMR Daily - MI0020257 _03_01_2019_to_03_31_2019_V1.pdf,2019/01-DMRS/DMR Daily - MI0020257 _03_01_2019_to_03_31_2019_V1.pdf,121 KB
2019,01-DMRS,DMR Daily - MI0020257 _04_01_2019_to_04_30_2019_V1.pdf,2019/01-DMRS/DMR Daily - MI0020257 _04_01_2019_to_04_30_2019_V1.pdf,121 KB
2019,01-DMRS,DMR Daily - MI0020257 _05_01_2019_to_05_31_2019_V1.pdf,2019/01-DMRS/DMR Daily - MI0020257 _05_01_2019_to_05_31_2019_V1.pdf,120 KB
2019,01-DMRS,DMR Daily - MI0020257 _06_01_2019_to_06_30_2019_V1.pdf,2019/01-DMRS/DMR Daily - MI0020257 _06_01_2019_to_06_30_2019_V1.pdf,120 KB
2019,01-DMRS,DMR Daily - MI0020257 _07_01_2019_to_07_31_2019_V1.pdf,2019/01-DMRS/DMR Daily - MI0020257 _07_01_2019_to_07_31_2019_V1.pdf,120 KB
2019,01-DMRS,DMR Daily - MI0020257 _08_01_2019_to_08_31_2019_V1.pdf,2019/01-DMRS/DMR Daily - MI0020257 _08_01_2019_to_08_31_2019_V1.pdf,120 KB
2019,01-DMRS,DMR Daily - MI0020257 _09_01_2019_to_09_30_2019_V1.pdf,2019/01-DMRS/DMR Daily - MI0020257 _09_01_2019_to_09_30_2019_V1.pdf,133 KB
2019,01-DMRS,DMR Daily - MI0020257 _10_01_2019_to_10_31_2019_V1.pdf,2019/01-DMRS/DMR Daily - MI0020257 _10_01_2019_to_10_31_2019_V1.pdf,135 KB
2019,01-DMRS,DMR Daily - MI0020257 _11_01_2019_to_11_30_2019_V1.pdf,2019/01-DMRS/DMR Daily - MI0020257 _11_01_2019_to_11_30_2019_V1.pdf,135 KB
2019,01-DMRS,DMR Daily - MI0020257 _12_01_2019_to_12_31_2019_V1.pdf,2019/01-DMRS/DMR Daily - MI0020257 _12_01_2019_to_12_31_2019_V1.pdf,135 KB
2019,01-DMRS,DMR Summary - MI0020257 _01_01_2019_to_01_31_2019_V1.pdf,2019/01-DMRS/DMR Summary - MI0020257 _01_01_2019_to_01_31_2019_V1.pdf,103 KB
2019,01-DMRS,DMR Summary - MI0020257 _02_01_2019_to_02_28_2019_V1.pdf,2019/01-DMRS/DMR Summary - MI0020257 _02_01_2019_to_02_28_2019_V1.pdf,103 KB
2019,01-DMRS,DMR Summary - MI0020257 _03_01_2019_to_03_31_2019_V1.pdf,2019/01-DMRS/DMR Summary - MI0020257 _03_01_2019_to_03_31_2019_V1.pdf,103 KB
2019,01-DMRS,DMR Summary - MI0020257 _04_01_2019_to_04_30_2019_V1.pdf,2019/01-DMRS/DMR Summary - MI0020257 _04_01_2019_to_04_30_2019_V1.pdf,103 KB
2019,01-DMRS,DMR Summary - MI0020257 _05_01_2019_to_05_31_2019_V1.pdf,2019/01-DMRS/DMR Summary - MI0020257 _05_01_2019_to_05_31_2019_V1.pdf,107 KB
2019,01-DMRS,DMR Summary - MI0020257 _06_01_2019_to_06_30_2019_V1.pdf,2019/01-DMRS/DMR Summary - MI0020257 _06_01_2019_to_06_30_2019_V1.pdf,107 KB
2019,01-DMRS,DMR Summary - MI0020257 _07_01_2019_to_07_31_2019_V1.pdf,2019/01-DMRS/DMR Summary - MI0020257 _07_01_2019_to_07_31_2019_V1.pdf,100 KB
2019,01-DMRS,DMR Summary - MI0020257 _08_01_2019_to_08_31_2019_V1.pdf,2019/01-DMRS/DMR Summary - MI0020257 _08_01_2019_to_08_31_2019_V1.pdf,107 KB
2019,01-DMRS,DMR Summary - MI0020257 _09_01_2019_to_09_30_2019_V1.pdf,2019/01-DMRS/DMR Summary - MI0020257 _09_01_2019_to_09_30_2019_V1.pdf,110 KB
2019,01-DMRS,DMR Summary - MI0020257 _10_01_2019_to_09_30_2020_V1.pdf,2019/01-DMRS/DMR Summary - MI0020257 _10_01_2019_to_09_30_2020_V1.pdf,101 KB
2019,01-DMRS,DMR Summary - MI0020257 _10_01_2019_to_10_31_2019_V1.pdf,2019/01-DMRS/DMR Summary - MI0020257 _10_01_2019_to_10_31_2019_V1.pdf,105 KB
2019,01-DMRS,DMR Summary - MI0020257 _11_01_2019_to_11_30_2019_V1.pdf,2019/01-DMRS/DMR Summary - MI0020257 _11_01_2019_to_11_30_2019_V1.pdf,114 KB
2019,01-DMRS,DMR Summary - MI0020257 _12_01_2019_to_12_31_2019_V1.pdf,2019/01-DMRS/DMR Summary - MI0020257 _12_01_2019_to_12_31_2019_V1.pdf,105 KB
2019,010-Process-Site-Documents,Cadillac WWTP_99_ Flow Data.pdf,2019/010-Process-Site-Documents/Cadillac WWTP_99_ Flow Data.pdf,23 KB
2019,010-Process-Site-Documents,MI0020257_August2019WET Report_9-10-2019.pdf,2019/010-Process-Site-Documents/MI0020257_August2019WET Report_9-10-2019.pdf,1778 KB
2019,011 Form Submissions,19.10.Eff.AddlMonit.Paragon.revised.pdf,2019/011 Form Submissions/19.10.Eff.AddlMonit.Paragon.revised.pdf,525 KB
2019,011 Form Submissions,19.10.Eff.AddlMonit.WET.ERM.pdf,2019/011 Form Submissions/19.10.Eff.AddlMonit.WET.ERM.pdf,1642 KB
2019,011 Form Submissions,19.12.Eff.FollowUp.WET.ERM.pdf,2019/011 Form Submissions/19.12.Eff.FollowUp.WET.ERM.pdf,1640 KB
2019,011 Form Submissions,FY19 Biosolids Lab Data sheet-Oct.pdf,2019/011 Form Submissions/FY19 Biosolids Lab Data sheet-Oct.pdf,135 KB
2019,011 Form Submissions,FY19 Biosolids Lab data Sheet-June.pdf,2019/011 Form Submissions/FY19 Biosolids Lab data Sheet-June.pdf,134 KB
2019,011 Form Submissions,FY19 Pathogen Results-Spring.pdf,2019/011 Form Submissions/FY19 Pathogen Results-Spring.pdf,1055 KB
2019,011 Form Submissions,FY19 Pathogen results-Fall.pdf,2019/011 Form Submissions/FY19 Pathogen results-Fall.pdf,186 KB
2019,011 Form Submissions,FY20 Digestor Sludge Temps-Fall 2019.pdf,2019/011 Form Submissions/FY20 Digestor Sludge Temps-Fall 2019.pdf,2827 KB
2019,011 Form Submissions,FY20 Lab Log-Solids and DTs-Fall 2019.pdf,2019/011 Form Submissions/FY20 Lab Log-Solids and DTs-Fall 2019.pdf,127 KB
2019,011 Form Submissions,FY20 Metals-Nutrient Results-Sept 2019.pdf,2019/011 Form Submissions/FY20 Metals-Nutrient Results-Sept 2019.pdf,2699 KB
2019,011 Form Submissions,FY20 Pathogen Results-Sept 2019.pdf,2019/011 Form Submissions/FY20 Pathogen Results-Sept 2019.pdf,786 KB
2019,011 Form Submissions,HNQ-VZP8-TWNRX V1.pdf,2019/011 Form Submissions/HNQ-VZP8-TWNRX V1.pdf,46 KB
2019,011 Form Submissions,HNT-5SPH-XVKKZ V1.pdf,2019/011 Form Submissions/HNT-5SPH-XVKKZ V1.pdf,68 KB
2019,011 Form Submissions,HNV-XK97-EV0GR V1.pdf,2019/011 Form Submissions/HNV-XK97-EV0GR V1.pdf,42 KB
2019,011 Form Submissions,HNY-0A3C-HVRY7 V1.pdf,2019/011 Form Submissions/HNY-0A3C-HVRY7 V1.pdf,255 KB
2019,011 Form Submissions,HPJ-N5BJ-2CYH5 V1.pdf,2019/011 Form Submissions/HPJ-N5BJ-2CYH5 V1.pdf,80 KB
2019,011 Form Submissions,Phone Log 10-24-2019.pdf,2019/011 Form Submissions/Phone Log 10-24-2019.pdf,635 KB
2019,011 Form Submissions,UpdatedPELSheet_MI0020257_4-11-2019.pdf,2019/011 Form Submissions/UpdatedPELSheet_MI0020257_4-11-2019.pdf,74 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,3-19 Sludge Data (1).pdf,KEY SOURCE & PATHWAY DOCS/3-19 Sludge Data (1).pdf,969 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,3-19 Sludge Data.pdf,KEY SOURCE & PATHWAY DOCS/3-19 Sludge Data.pdf,969 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,4-19 Sludge Data (1).pdf,KEY SOURCE & PATHWAY DOCS/4-19 Sludge Data (1).pdf,958 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,4-19 Sludge Data.pdf,KEY SOURCE & PATHWAY DOCS/4-19 Sludge Data.pdf,958 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,AAR PFAS Survey.pdf,KEY SOURCE & PATHWAY DOCS/AAR PFAS Survey.pdf,381 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,APS PFAS Screening.pdf,KEY SOURCE & PATHWAY DOCS/APS PFAS Screening.pdf,1048 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,American Waste PFAS Survey.pdf,KEY SOURCE & PATHWAY DOCS/American Waste PFAS Survey.pdf,266 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,Arvco PFAS Survey.pdf,KEY SOURCE & PATHWAY DOCS/Arvco PFAS Survey.pdf,159 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,Avon PFAS Survey.pdf,KEY SOURCE & PATHWAY DOCS/Avon PFAS Survey.pdf,366 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,CCI PFAS Survey.pdf,KEY SOURCE & PATHWAY DOCS/CCI PFAS Survey.pdf,1440 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,Cadillac WWTP 2nd PFAS-IPP Mailing.pdf,KEY SOURCE & PATHWAY DOCS/Cadillac WWTP 2nd PFAS-IPP Mailing.pdf,140 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,Cadillac WWTP 4th PFAS IPP Mailing.pdf,KEY SOURCE & PATHWAY DOCS/Cadillac WWTP 4th PFAS IPP Mailing.pdf,331 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,Cadillac WWTP MI0020257 IPP PFAS Dec 2019 Status (1).pdf,KEY SOURCE & PATHWAY DOCS/Cadillac WWTP MI0020257 IPP PFAS Dec 2019 Status (1).pdf,192 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,Cadillac WWTP MI0020257 IPP PFAS Dec 2019 Status.pdf,KEY SOURCE & PATHWAY DOCS/Cadillac WWTP MI0020257 IPP PFAS Dec 2019 Status.pdf,192 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,Cadillac WWTP PFAS Interim and Summary Rpt Approval Letter (1).pdf,KEY SOURCE & PATHWAY DOCS/Cadillac WWTP PFAS Interim and Summary Rpt Approval Letter (1).pdf,117 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,Cadillac WWTP PFAS Interim and Summary Rpt Approval Letter.pdf,KEY SOURCE & PATHWAY DOCS/Cadillac WWTP PFAS Interim and Summary Rpt Approval Letter.pdf,117 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,Cadillac WWTP PFAS Letter (1).pdf,KEY SOURCE & PATHWAY DOCS/Cadillac WWTP PFAS Letter (1).pdf,200 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,Cadillac WWTP PFAS Letter (2).pdf,KEY SOURCE & PATHWAY DOCS/Cadillac WWTP PFAS Letter (2).pdf,200 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,Cadillac WWTP PFAS Letter (3).pdf,KEY SOURCE & PATHWAY DOCS/Cadillac WWTP PFAS Letter (3).pdf,121 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,Cadillac WWTP PFAS Letter (4).pdf,KEY SOURCE & PATHWAY DOCS/Cadillac WWTP PFAS Letter (4).pdf,200 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,Cadillac WWTP PFAS Letter (5).pdf,KEY SOURCE & PATHWAY DOCS/Cadillac WWTP PFAS Letter (5).pdf,200 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,Cadillac WWTP PFAS Letter (6).pdf,KEY SOURCE & PATHWAY DOCS/Cadillac WWTP PFAS Letter (6).pdf,200 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,Cadillac WWTP PFAS Letter.pdf,KEY SOURCE & PATHWAY DOCS/Cadillac WWTP PFAS Letter.pdf,200 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,EGLE WRD Notification of 2024 Biosolids Containing PFAS Interim Strategy - Important Update.pdf,KEY SOURCE & PATHWAY DOCS/EGLE WRD Notification of 2024 Biosolids Containing PFAS Interim Strategy - Important Update.pdf,432 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,EM-RMP Sludge Data - 38 percent vol sol reduc info (1).pdf,KEY SOURCE & PATHWAY DOCS/EM-RMP Sludge Data - 38 percent vol sol reduc info (1).pdf,2158 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,EM-RMP Sludge Data - 38 percent vol sol reduc info.pdf,KEY SOURCE & PATHWAY DOCS/EM-RMP Sludge Data - 38 percent vol sol reduc info.pdf,2158 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,EM-raw sludge data - excel spreadsheet - June 2019 attached (1).pdf,KEY SOURCE & PATHWAY DOCS/EM-raw sludge data - excel spreadsheet - June 2019 attached (1).pdf,106 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,EM-raw sludge data - excel spreadsheet - June 2019 attached.pdf,KEY SOURCE & PATHWAY DOCS/EM-raw sludge data - excel spreadsheet - June 2019 attached.pdf,106 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,EM-raw sludge data - excel spreadsheet - do you have...... (1).pdf,KEY SOURCE & PATHWAY DOCS/EM-raw sludge data - excel spreadsheet - do you have...... (1).pdf,40 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,EM-raw sludge data - excel spreadsheet - do you have.......pdf,KEY SOURCE & PATHWAY DOCS/EM-raw sludge data - excel spreadsheet - do you have.......pdf,40 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,FIAMM PFAS Survey.pdf,KEY SOURCE & PATHWAY DOCS/FIAMM PFAS Survey.pdf,330 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,FW_ TestAmerica invoice and report files from 190-17646-1 City of Cadillac (1).pdf,KEY SOURCE & PATHWAY DOCS/FW_ TestAmerica invoice and report files from 190-17646-1 City of Cadillac (1).pdf,2633 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,FW_ TestAmerica invoice and report files from 190-17646-1 City of Cadillac (2).pdf,KEY SOURCE & PATHWAY DOCS/FW_ TestAmerica invoice and report files from 190-17646-1 City of Cadillac (2).pdf,2633 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,FW_ TestAmerica invoice and report files from 190-17646-1 City of Cadillac.pdf,KEY SOURCE & PATHWAY DOCS/FW_ TestAmerica invoice and report files from 190-17646-1 City of Cadillac.pdf,2633 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,HAVS PFAS Survey.pdf,KEY SOURCE & PATHWAY DOCS/HAVS PFAS Survey.pdf,86 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,J17646-1 UDS Level 2 Report Final Report (Leachate) (1).pdf,KEY SOURCE & PATHWAY DOCS/J17646-1 UDS Level 2 Report Final Report (Leachate) (1).pdf,2168 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,J17646-1 UDS Level 2 Report Final Report (Leachate).pdf,KEY SOURCE & PATHWAY DOCS/J17646-1 UDS Level 2 Report Final Report (Leachate).pdf,2168 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,J17646-1 UDS Level 2 Report Final Report.pdf,KEY SOURCE & PATHWAY DOCS/J17646-1 UDS Level 2 Report Final Report.pdf,2168 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,MI0020257 PFAS-IPP Letter 2-20-2018.pdf,KEY SOURCE & PATHWAY DOCS/MI0020257 PFAS-IPP Letter 2-20-2018.pdf,351 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,Mich Rubber PFAS Survey.pdf,KEY SOURCE & PATHWAY DOCS/Mich Rubber PFAS Survey.pdf,1260 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,Piranha PFAS Survey.pdf,KEY SOURCE & PATHWAY DOCS/Piranha PFAS Survey.pdf,1301 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,RE_ Cadillac WWTP - IPP PFAS Interim Report Review (1).pdf,KEY SOURCE & PATHWAY DOCS/RE_ Cadillac WWTP - IPP PFAS Interim Report Review (1).pdf,109 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,RE_ Cadillac WWTP - IPP PFAS Interim Report Review.pdf,KEY SOURCE & PATHWAY DOCS/RE_ Cadillac WWTP - IPP PFAS Interim Report Review.pdf,93 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,RE_ Cadillac WWTP - IPP PFAS Interim Report Review2 (1).pdf,KEY SOURCE & PATHWAY DOCS/RE_ Cadillac WWTP - IPP PFAS Interim Report Review2 (1).pdf,109 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,RE_ Cadillac WWTP - IPP PFAS Interim Report Review2.pdf,KEY SOURCE & PATHWAY DOCS/RE_ Cadillac WWTP - IPP PFAS Interim Report Review2.pdf,109 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,RE_ EGLE WRD Notification of 2024 Biosolids Containing PFAS Interim Strategy - Important Update.pdf,KEY SOURCE & PATHWAY DOCS/RE_ EGLE WRD Notification of 2024 Biosolids Containing PFAS Interim Strategy - Important Update.pdf,100 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,RE_ IPP PFAS Initiative Sampling Guidance_ Suggested Analytes (1).pdf,KEY SOURCE & PATHWAY DOCS/RE_ IPP PFAS Initiative Sampling Guidance_ Suggested Analytes (1).pdf,168 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,RE_ IPP PFAS Initiative Sampling Guidance_ Suggested Analytes (2).pdf,KEY SOURCE & PATHWAY DOCS/RE_ IPP PFAS Initiative Sampling Guidance_ Suggested Analytes (2).pdf,168 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,RE_ IPP PFAS Initiative Sampling Guidance_ Suggested Analytes.pdf,KEY SOURCE & PATHWAY DOCS/RE_ IPP PFAS Initiative Sampling Guidance_ Suggested Analytes.pdf,168 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,RE_ TestAmerica invoice and report files from 190-17646-1 City of Cadillac.pdf,KEY SOURCE & PATHWAY DOCS/RE_ TestAmerica invoice and report files from 190-17646-1 City of Cadillac.pdf,185 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,Rec Boat PFAS Survey.pdf,KEY SOURCE & PATHWAY DOCS/Rec Boat PFAS Survey.pdf,2862 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,Spencer Plastic PFAS Survey.pdf,KEY SOURCE & PATHWAY DOCS/Spencer Plastic PFAS Survey.pdf,24 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,TVS Sludge data with June 2019 (1).pdf,KEY SOURCE & PATHWAY DOCS/TVS Sludge data with June 2019 (1).pdf,40 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,TVS Sludge data with June 2019 - CS (1).pdf,KEY SOURCE & PATHWAY DOCS/TVS Sludge data with June 2019 - CS (1).pdf,45 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,TVS Sludge data with June 2019 - CS.pdf,KEY SOURCE & PATHWAY DOCS/TVS Sludge data with June 2019 - CS.pdf,45 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,TVS Sludge data with June 2019.pdf,KEY SOURCE & PATHWAY DOCS/TVS Sludge data with June 2019.pdf,40 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,TVS Sludge-Temp data Mar-Apr-June 2019 (1).pdf,KEY SOURCE & PATHWAY DOCS/TVS Sludge-Temp data Mar-Apr-June 2019 (1).pdf,40 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,TVS Sludge-Temp data Mar-Apr-June 2019.pdf,KEY SOURCE & PATHWAY DOCS/TVS Sludge-Temp data Mar-Apr-June 2019.pdf,40 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,WEXFORD LANDFILL.pdf,KEY SOURCE & PATHWAY DOCS/WEXFORD LANDFILL.pdf,55 KB
Source/Pathway,KEY SOURCE & PATHWAY DOCS,deq-tou-WRD-IPP_PFAS_Guidance-ScreeningEvaluation_620434_7.pdf,KEY SOURCE & PATHWAY DOCS/deq-tou-WRD-IPP_PFAS_Guidance-ScreeningEvaluation_620434_7.pdf,265 KB
